,sentiment,content
1595,neutral,must fool twitterland get retweet sadsville
1596,neutral,mmmm chilli crab amp deal deal and thats life
1597,neutral,bearablescents sitewarming party usually well if say myself sigjeans
1598,0,still pool key wth even hot today
1599,neutral,colleen really sincerely hope kalebnation get better soon
1600,neutral,less hour
1601,0,please please anyone
1602,0,robbiebarnes sky terrestrial analogue
1603,0,shower time
1604,neutral,lisatalkingtots sorry hear news
1605,0,suprisingly okay possibly still drunk goodbye suck though
1606,neutral,mkg now alone
1607,neutral,celestialteapot oh dear
1608,neutral,kirsty h i m good still enjoying fryeffect you
1609,neutral,feel like bank holiday weekend bet france they re always holiday
1610,neutral,dont want though wish slept heather woke up i ve got work later first read twilight
1611,neutral,abcddesigns ever sleep
1612,neutral,santa clara long way hoe well far sure seems like it
1613,neutral,patti cable carrier space channel
1614,neutral,jenxstudios like buck shot kind camera have
1615,0,family come probably weekend
1616,neutral,ey twitter home school i m still cold planned nothing today take easy
1617,neutral,cosmicxpress cheer defo give call
1618,neutral,excited ysj summer ball wish one
1619,neutral,emergency radio iphone awesome listening johnson county sheriff live scanner stream
1620,neutral,jeremycowart http onoir com try go can tell everyone go montreal check out even people live
1621,0,got home work tired
1622,neutral,andysowards quite
1623,neutral,i ve locked mac twice time ok literally twice
1624,neutral,listening revenge kiss get inspiration think kristie really digging though
1625,neutral,put real pic up i m going miss avatar
1626,0,kristphr anything sgelectra sorry man patsy generally
1627,neutral,ajdaddy ima cry tht mean
1628,0,can t comment directly someone i m alone
1629,neutral,ddlovato welcomeee backkkkk
1630,0,tired ive walked kilometre today
1631,0,got crush issue tomorrow friend going india whole summer im back sad
1632,neutral,digooooo yeah yeah gd night
1633,0,i m gonna cry went bad history test really hate history
1634,neutral,thought spanish name pretend one night out ariella gonzalez like it care
1635,0,brran really suck think might cry skipped anything important have comp getting disposable
1636,0,julezykins must kidding boy definately i hope anyway o o girl probably honest must proper ugly no one like
1637,0,working weekend
1638,0,well that s last fabs gone
1639,0,dutchraymond yeah realize bad till
1640,neutral,marypascoe thanks buddi problem friend yah post pic london nothing much really u
1641,0,trying watch boy flower online streaming suck wireless crappy
1642,0,tired
1643,0,apartment emptying amp day sad last week
1644,0,bad day close relative died wont going florida
1645,neutral,listened domination pantera grooveshark http tinysong com pz
1646,neutral,looking new beard fell window bright green one time
1647,neutral,taylorswift hi i m goin see wednesay shepard bush
1648,0,biggabx yes fair lol
1649,neutral,well far back sanity least me
1650,neutral,theksha http bit ly nack
1651,neutral,running rain
1652,neutral,youngmaiine never stop t
1653,0,another long walk heat hate this
1654,neutral,trying learn oral exam i m distracted
1655,0,damiencripps awesome shame though mark fiddle player died last month fab version good riddance i album
1656,0,miss boo another note im soready game come tonight fox grill anyone
1657,0,actually hot today the sun got hat every one got tan except
1658,0,adambmusic ik feel sooo bad
1659,neutral,migraine fighting way back last night
1660,neutral,mpool call winning
1661,0,vosdjs lol yea fondue point chocolate lava cake really want but wont im mon fri babe
1662,0,close entering pogue s book today quot world according twitter quot yet seem far
1663,neutral,dbldbl yet
1664,neutral,love cute texy message especially call mandy
1665,neutral,summer eye wish knew curse tumblr
1666,neutral,http twitpic com wej speed lesson main screen center court take pic
1667,neutral,greenville one last time ct moving md soon we ll back eastern carolina
1668,neutral,audioo
1669,0,anothrstupidkid lucky bed ice cream sore couch cardboard
1670,neutral,finished eating
1671,0,miss daddy
1672,neutral,ashleighgrace morning ashleighhh x
1673,0,oww can t even describe much back hurt going go stupid doctor
1674,neutral,nicsey ya friend type much
1675,neutral,good thanks what s miami saying come u wrote me
1676,neutral,imcfly didnt save link dont need distraction need motivation
1677,neutral,wake up and go make breakfast
1678,0,can t set p phone twitter
1679,neutral,still craving cheeseburger
1680,0,im sad there s sale sign front house
1681,neutral,traceydukes hey tdukes flwd u immediately morn when dhmptn mentioned bit abt tattoo love her she s fav twitterer
1682,0,gfalcone britain s got talent cute little girl feel sorry her hope simon find time xx
1683,0,thinkgeek curse upon ridiculously slow internetz work dang image loaded
1684,neutral,allconsoffun anymore
1685,neutral,taylorswift hayley williams pretty much amazzing
1686,neutral,madpierrot im sure s okay ill save u know weiss mine
1687,neutral,tourbytaxi visited site hope helped
1688,0,lcpromotions doubt it boo always leave behind awesome roadtrips
1689,0,wish teased movie night
1690,neutral,omariofficial qood morninq
1691,0,fall in love aww too miss you
1692,neutral,annainthehouse know send anna let think bit find way
1693,0,kbal sorry feeling way
1694,neutral,deucie picked sitter weekend
1695,0,oh darn lost another follower
1696,neutral,hard get good google listing will wiltshire one local mp called will
1697,neutral,wish lived atleast relatively close ohio seen smalltown troy derk mcloven almost year
1698,0,thats moan day
1699,neutral,melkoo hi mel feel unhappy take bit fry overdo help
1700,neutral,cindyasuen jt snl tonight
1701,neutral,iconermaddyct wish could get twitter upload background
1702,neutral,google show apple want see image green them http tinyurl com clrbau cool
1703,neutral,work
1704,neutral,mahnx yeah sure
1705,neutral,ok hit hay thank
1706,0,try dl sims realize pc meet standard requirement need new pc lol
1707,0,naontiotami no missed
1708,neutral,misstoniii glad i m uni anymore
1709,neutral,berdtwit thx sharing
1710,neutral,amytcathy least get watch lost way
1711,neutral,julesfm know load others left
1712,neutral,well exam rocked one go one we ve dreading bit revision tonight work tomorrow
1713,neutral,currently watching american idol
1714,0,stupid shopping bag left red mark arm
1715,0,cable signal messed up i m missing ghostwhisperer news hurt toe cold like hot weather
1716,0,redsoxgirl there sadly first rodeo dear suspect learned lesson
1717,0,deegospel hey dee wish could make mastermind session tomorrow i m wedding statesboro hope chat soon
1718,neutral,carolinekan haha chocolate always knew heart stomach wait till try truffle
1719,neutral,thefifthsister true
1720,0,splitting headache
1721,neutral,paulafarris ya gotta forgive them dog little people fur coat know cleanup fun
1722,0,poor imissbradandjen s mom told looked like hooker skirt short degree out
1723,neutral,mashupnicole still hour
1724,neutral,brent gave big mention godtalk radio show last night last segment first hour podcast format avail soon
1725,neutral,andrewmayne work iphone macbook flat
1726,neutral,nice time juno http plurk com p svz
1727,neutral,schade tv addict
1728,neutral,stacywillert yeah yesterday found house want sold bank effed car accident
1729,0,dutchcowboys huh pr
1730,0,cheered i yelled shake end chant suck quot x quot got suspended amp give public apology lol
1731,neutral,chrisstjohn http my barackobama com page content iphone longer seems app store
1732,neutral,chillin bored drinking margarita txt
1733,neutral,jennamadison lol plan today or say tomorrow
1734,neutral,raemonvip will tell said happy birthday tomorrow too talking raymond
1735,neutral,cherrybear go back
1736,neutral,punkrockchick haha saw commercial it wouldnt kill
1737,neutral,druey merlin bad already watched bt course
1738,0,traceeellisross all miss girlfriend season
1739,0,retrorewind wok nite shift tonite miss please dm me promise wont tell anyone else
1740,neutral,mileysupportrs definitley miley
1741,neutral,okay enough talking time bed big mother s day tomorrow back greeley big move
1742,neutral,bha take big man type sad tweet like that
1743,0,happy mother day u mother happy mother day mother miss mom
1744,neutral,got stood up
1745,neutral,akavirtualpa http twitpic com bckp answer part question
1746,0,heritagesoftail hahaha miss bradddd guy keith
1747,neutral,oh please wanted complete unfinished tweet tweet cropped between tweet look dorky
1748,0,got little much sun today
1749,neutral,kno wat er saddo
1750,neutral,gabbyisactive aw would unfollow would you would cry
1751,neutral,thomaskattus asked sf schedule dahling maybe next time
1752,neutral,xvikki yes
1753,neutral,getting ready go apartment
1754,neutral,jacoblovie cant say havee im james r yesterdayy im learning quotess
1755,neutral,hlywdscrnwriter i ve thought several time got good friend there
1756,0,laylanatalie nowhere babe ice come job morning sigh
1757,neutral,almost made apple store mbp replacement fan in stock
1758,neutral,ditucci kind coach would read tweet still waiting non dried afro picture
1759,neutral,artbynemo name chad tomorrow
1760,0,remnant missed everyone tonight
1761,neutral,vinken thanks followfriday
1762,neutral,cupcake made http twitpic com w
1763,neutral,jonmerryman remember show remember hiccup
1764,0,hummmmm ohh miss much really hope nice friend like u
1765,0,massive headache
1766,neutral,anybody want bring lunch
1767,0,izzndsophtv want experience snow snow suck
1768,neutral,first mother s day next one two week
1769,neutral,chase shea fisher download
1770,neutral,hazel joy entirely possible
1771,0,japanese exchange student cutest thing i ve ever seen seriously haha want put pocket amp keep d
1772,0,scarymommy sure entire blogroll terribly updated could motivate update redo it
1773,0,sad casue everyone going seperate way never going see friend again
1774,0,wrong liesboystell one love they really several woman http tinyurl com nlpct
1775,neutral,cloudy outside
1776,0,bragging kitten cuteness cat never came home wanna throw
1777,neutral,stupid alarm lol morning twiits
1778,0,seen up cï¿½m anh ko chiu no i noi nhï¿½ tifa roi d thang cloud danh dam gi mac ke quot gt
1779,0,apparently i m meant take dance lesson
1780,neutral,harvstrofsorrow still like coldplay said one fav cd r one fav band too
1781,neutral,made night
1782,0,planning week going good going get lot stuff done
1783,neutral,gave tumblr api pointing private account
1784,neutral,get hang kaitlyn
1785,neutral,need one follower
1786,neutral,jonasbrothersox umm nope anymoree
1787,neutral,tldavidson thanks
1788,neutral,viters hotel thankful
1789,neutral,haha got email truth following twitter sign need away obscure mind game
1790,neutral,a simple girl buzzedition miss festivity evening heading hill internet bb service
1791,0,moro end stay grandma bad shes ny ft laud a weddin florida fun miss home spike car lol
1792,neutral,bring yself go heroism badge achievement
1793,0,smiley steph boo miss you age get internet back i ll try fix alo haha like act time time
1794,0,pain earlier gym session necessary evil much beer past year
1795,neutral,go sleep
1796,0,checking ciege cagalawan s s s collection regretting see collection tonight got invite
1797,neutral,devinjay oh referring lil exchange lj regard twitter archive posting
1798,0,emo zaboo ok hurt abit thought good job rude people could understand x
1799,0,im heading home gotta work sunday
1800,neutral,meghannian hug okay making sure
1801,neutral,anyone want chocolate nutella mochi gonna go waste
1802,neutral,safegeek technically i havent really gotten bed think right i m gonna stay here
1803,0,think cheap sunglass falling apart oh well
1804,neutral,playing window rc
1805,neutral,lose gut lol seriously gained lil im liking look
1806,neutral,woke washed up class till chillin g building nigguhs bby coming ilh
1807,neutral,mygoldmask guy keep set list forgot ask one xx
1808,neutral,way orlando raining
1809,neutral,hubby staying one week uzbekistan
1810,0,joenkobema what s wrong come u pain
1811,0,gray hat python book reminded many security tool python version specific pain need use
1812,neutral,renay poor kitty there s nothing done hopefully least able find good home
1813,0,finding song idea cover actually indeed thinking awesome make day
1814,neutral,hughsbeautiful cool still bought it tut tut
1815,neutral,give day old baby poor thing http yfrog com pwwlj
1816,neutral,jodiegiese yeah definitely pillow fight
1817,0,beautiful day today love sunshine missing man though away weekend xxxx
1818,neutral,alicam congratulation
1819,0,myronetadrid aw latest quot selenagomezlast day shooting goodbye canada quot
1820,0,hello aint tweetin day cuz switch thing da new place exhausted sick
1821,neutral,buchmamsell ist im der haus something like that guten morgen frï¿½ulein
1822,neutral,carlyrighteous i m belleville parent someone offered bus ride orillia mall thought
1823,0,momneedstherapy sorry ambien got sick perhaps work ash garden catnip plant
1824,neutral,im going cardiff today shopping
1825,0,study study study fun saturday
1826,neutral,rain moving west thwarted plan wee nap outside
1827,neutral,melbelle absolutely love you thanks
1828,neutral,mcflys bus driver told dad yday dougie smitten frankie awwwwwww also going outside lawn party lol xx
1829,0,heading graduation like this oh nick i ll looking you
1830,neutral,sarahtonner tweeting running
1831,neutral,cleaned mii scrolly ball
1832,neutral,resofactor agree completely
1833,0,darn allergy like time year this never used problem either
1834,0,wow got killed first wave horde gear fail
1835,neutral,watching george lopez went school played basketball today pretty nice hot
1836,neutral,anyone know pc keep restarting itself
1837,neutral,awake am saturday sleep day oh well work keep busy work keeping awake
1838,0,calikiks asap but kid asleep car seat arianna take u need pay v bill
1839,neutral,oliviamunn long frisbee golfer quot accidentally quot catch one back head friend
1840,neutral,good luck nandito first day ib exam it road berkeley
1841,0,tired canï¿½t stay awake but must finish work sunday
1842,neutral,well third day virgin s captain s log star trek weekend
1843,neutral,pcsketch hello well sunny head fuzzy coffee brewed yet how s day
1844,neutral,hanging bri
1845,neutral,walking tesco rhiannon hannah hide evidence lastnight
1846,neutral,tittch file seduced sweetie
1847,neutral,crushstevens music always noone else understands agree important single song change whole day
1848,neutral,alisongow think i ve killed judging bt energy attacking see happened spymaster
1849,0,mi corazonsito tiene frio weather suck
1850,neutral,sianhughes kinda hope died fire cause didnt like sign body
1851,neutral,day like today thankful mom s teaching proverb thankful twitter too love planit
1852,neutral,kait o haha i m philippine want follow you
1853,neutral,xjamiex thanks
1854,neutral,probando tweetdeck
1855,neutral,phone broken amp im lazy go verizon store get new one oh well guess phone awhile aha
1856,0,nite tweeple tomorrow day work
1857,neutral,europe bound
1858,neutral,miizlushious cop
1859,neutral,mohandoss
1860,neutral,iantalbot honest real art
1861,neutral,mattjay hey that s wa round round next week
1862,0,chocolovere feel way every day
1863,neutral,make wish
1864,neutral,tangibleww like last part methodology
1865,neutral,justads suppossed support local economy lol good congrats
1866,0,ready
1867,neutral,escurel jessiebear need think name call you
1868,neutral,new top http tinyurl com cydpp
1869,neutral,confident still moment baby that s la la land demi lovato
1870,0,i ve sick past day thus hair look wierd didnt hat would look http tinyurl com mnfkw
1871,neutral,zjelektra that s supposed sometimes get busy recognize always family god
1872,neutral,tonicate yes need ppl vote get vote ciao now till tomorrow is anybody listening yes am night
1873,0,kellykfog totally unsurprised dave coming back annalisa wrong it opposite big warm mellow dave
1874,0,honza take flight back czech republic morning i m really going miss him
1875,neutral,divacowgirl see ya
1876,neutral,lasttt mondayyy class
1877,0,tomatosponge hey second kind sad ok guitar guitar guitar bbq good time you gt
1878,neutral,laurenhalestorm yeah we re way home
1879,0,miss hubby already
1880,neutral,still amazed awesomness last night discussion great looking forward great week day go home
1881,0,superstarnikki one day
1882,0,sarah miss already sad face texted seriously gonna make cry
1883,neutral,dillonhall spell sound wookie
1884,neutral,donniescupcake tweet sometime tomorrow anothe busy day goodnight hooker chickie lol
1885,0,tummy hurt
1886,neutral,come never sleep past good
1887,neutral,nikkipilkington mr tweet think
1888,neutral,lowri bone four capital letter aye boy that heart justice
1889,0,murray got broken
1890,neutral,shoe shopping luck size anything want
1891,neutral,skimso freako roidz hope lift leg stay way clean
1892,neutral,hkygrl i m seeing saturday
1893,neutral,internship day thee hospital go
1894,neutral,lightgood hi uploaded completely new chinese lesson www youtube com chineselearn please feel free watch enjoy
1895,neutral,urbanfly well tricky one would say
1896,neutral,nicotine replacement patch hour far good sleep hour getting bit twitchy
1897,neutral,aimecain whuahahhaha need cut bram ladages applejack pancake
1898,neutral,ladyvee i jet repair shop lol
1899,neutral,josephadamx watched belong me lovely sister kiddin
1900,0,knee surgery back home week
1901,neutral,lizajbeck argument
1902,0,took guy think bluff three time row get away it back showing shit work
1903,neutral,i m putting anything
1904,neutral,garretjiroux yep i m facebook person http bit ly dufaz
1905,0,spicybev yep itï¿½s mother day well family ignore it weï¿½re celebrating every day lol
1906,neutral,joining twitter
1907,neutral,mohandoss anbudan bala thanx sixer comment
1908,neutral,carlyyoliver goood
1909,neutral,getting ready early night tweeps great one every
1910,neutral,caseylparker yeah ranga make sense
1911,neutral,mo williamssssss
1912,0,verb n noun ikr parent take cake tho grocery shop go eat time
1913,neutral,sarcasmoo waited band singapore show met chris got ticket nothing know
1914,neutral,souljaboytellem aw that s cute
1915,neutral,twpp still nw trending topic
1916,0,i m missing everything work want pix ipinklemonade
1917,neutral,twittername hosted twitterfridge email u want u open fridge check www twitterfridge com
1918,neutral,can t wait go bed
1919,neutral,odbod yeah ford focus titanium get helicopter add top end luxury model unfortunately
1920,0,lol stay hour keep missing tila s last post
1921,0,ugh id better get work
1922,neutral,last night australia
1923,neutral,millenia mom think category
1924,neutral,poppyscorner steal stuff buries fence embarassing man returning them much frog
1925,0,confused angry anxious top everything lonely
1926,neutral,imageglow unfollow people following follow new people
1927,neutral,misspleasure i m way
1928,neutral,tip today eagle special bronco put house
1929,0,sooooo dropped phone text tweet me i m currently banging face spike covered poison ivy infested wall
1930,neutral,innolab yes article wrote blog ago
1931,0,lost friend didnt anything
1932,0,say miss cousin badly http plurk com p xbha
1933,0,received phone call new patient i guess mean work tomorrow
1934,neutral,chippewa said elusive tricky
1935,neutral,mezandy me docreative
1936,0,iamnauj can t wish sleeping gotta work less hour wait what re u up
1937,neutral,symphonic
1938,0,cold take boat tonight might go anyway danvan operation either bummer
1939,neutral,robertpattz hey dude im finishing lullaby dude saw pic w long hair umm let say keep short ha
1940,neutral,i m bird broken wing song love sing know xx
1941,0,friend went new york without got picture smith http twitpic com l
1942,0,hurt sister much potential isnt using waste god given talent
1943,neutral,never part follow friday
1944,neutral,damn rain oh well look like football i ll experience today fa cup final
1945,neutral,katehughes time
1946,neutral,blueyes would far away
1947,neutral,art n booklife heard too seems overreaction
1948,neutral,justjazzo n e uterus u wanna rub lol ok u tell
1949,0,meiko time morning go way across town take pic so sad
1950,neutral,supertriviaguy hey tallebudgera creek pm visiting anita s special tree could almost bumped
1951,neutral,dlayphoto yes koi year baby well biggest one almost ft long name
1952,neutral,re pinging nunu b pathetic mom best friend hell know talk mom bout everything everythinggg
1953,neutral,hate funeral
1954,0,azamann hah eeee although understandable need new picture thing i m sweaty
1955,0,head ache tom s call time really early show start pm recovered like photo already go
1956,0,dtballa want forgive forget this please dont like promise going live without drama now so please
1957,neutral,twiter me this morning donniezdetdiva new profile pic
1958,neutral,mommyof angel self confidence first requisite great undertaking seems like u r right track keep reminding follow u
1959,neutral,krigeren interesting today say least overall good day
1960,0,animalbehavior sorry dead as gonna
1961,neutral,yay ear match
1962,0,prncsztalia hate me
1963,neutral,friday friday morning ugh
1964,neutral,dannywood mind going gutter
1965,neutral,mistersweaters one
1966,neutral,morning is anyone there
1967,neutral,junlee ghunghte mein chanda hai phir bhi hai phela chaaron aur ujala love songggggg p got lost morrison
1968,neutral,cousin wake
1969,neutral,yes quite unsure aswell haha
1970,neutral,love new twitter background my two hero wichita kraussey haha
1971,0,maxlucado wgn chicago used calm airing idea last day changed programing sound bite shouting
1972,0,sirreigns good luck design remember little people heading bed goodnight
1973,0,guess bedtime goodnight twitter bed big empty without him
1974,0,failure
1975,neutral,lilyroseallen got ticket gig glasgow gutted wait til november though
1976,0,dotcompals yes nice missed lot fun damn exam looking good hair
1977,0,plan today cleaning washing clothes amp cooking pork dinner weather bit dull hoorah bank hols though
1978,neutral,back work
1979,neutral,man u know thing get interesting sometimes lolll im damn good
1980,neutral,drea bbcrew dude im sleepy went bed soon got home whhaacck
1981,neutral,started twittering
1982,0,movietfan well completely lame i m sorry dude
1983,neutral,rohitchauhan pundit paid for how tv channel website run otherwise
1984,neutral,tanya jolene try next day o yuk lol n e thing poppin sn
1985,0,chelseapiersnyc tiny cc seem load thinking going batting cage apparently gotta book adv
1986,neutral,miacarruthers follow me
1987,0,rec game trying cry the pain much i need him can t lose lt my heart breakingg
1988,0,stormyamorette one day loneliness creep slap face
1989,neutral,mscatou someone really need make kit like avaialble home use
1990,neutral,painting
1991,0,missin ia guy really
1992,neutral,i m going see le mi tonight myonlysanction ugh jealous aw im sucker musical i http tumblr com xtlwb
1993,0,bed bed bed samuelasanders never answer text anymore thought day sent one never heard back sad day
1994,0,dam vote gonna win anything
1995,neutral,emmy caus eit school today big exam
1996,neutral,greegreece little thing link u england
1997,neutral,lboogsdottv time
1998,neutral,revise bit back soon
1999,neutral,happy birthday
2000,0,best day ever missed him tomorrow
2001,neutral,shontelle layne hmm what s ur fav movie tv show
2002,neutral,morning escuchando el soundtrack de twilight que gaby trajoooooo la adoro muse paramore perry farrell
2003,neutral,liesl m make one something charger
2004,neutral,sitting waiting exam start
2005,neutral,tonnet next time around please let sylwiapresley know take lunch
2006,0,pvtmarcus always choose good guy even know game feel bit bad evil thing
2007,0,phone still blocked fav cll
2008,0,simbaaa mahimaaa sorry help it twas try get trending topic
2009,neutral,laerwen i ll try that thanks
2010,0,sleeping soo good woke like min ago n got sick feeling great wanna go back sleep i m wide awake
2011,0,scrapshoppeetsy rt heart past day etsy boo hoo totally
2012,neutral,ronchick always
2013,0,im well bored great half term dont wanna go back school monday enjoying hot weatler lol
2014,neutral,applecored
2015,neutral,bea eh not sure daw guesting ni cha monday
2016,0,damn the right side earphone stopped working sudden need buy new one
2017,0,guinea pig died today
2018,neutral,ash phillips say yes shall say
2019,neutral,mrskutcher yes hot make perfect pair sexy stylish wonderful mother day
2020,neutral,friday payday oh yeah state employee percent annual salary deducted paycheck
2021,neutral,downloading tf mere g nearly instantly kb
2022,neutral,realized cool enough ever get shout trellthms this player playing on hahahah
2023,neutral,david henrie shoutout holland please got lot fan here
2024,0,binncheol i m afraid so tour people refusing believe anything else irish way
2025,neutral,i m advert make a wish foundation amp can t find photo kid looking close death that s good thing kid
2026,neutral,benchmarkit clapping bring back life
2027,0,ddlovato food like can t put penutt butter bread always broke bread need tosted much
2028,neutral,tomfelton http twitpic com jam better lighting would enhanced photo nice angle though
2029,0,crap lost game time today day history lostthegame blame meekakitty
2030,neutral,sinnamons gotta play off wall first tho
2031,neutral,kbaxter bummer yo i m starting final soon so guess i ll see around second week june then
2032,neutral,woke hour early study test
2033,0,need sit inside hurt ughhh
2034,neutral,scandalous iphone app came month back called zemote bumped domain zemote com spot
2035,0,underdog gonna say probably kill ya serve sentence living insurance cash now insured right lol
2036,neutral,schittywk kill jasmine talked age
2037,neutral,city bittt
2038,neutral,thecreive glad ok
2039,neutral,troublebrother much much much mash please
2040,neutral,twittascope rocking sock go away already
2041,neutral,lilith yeah im okayy lot happening anyone special moment xx
2042,neutral,twitter question go brother st soccer game season or stay warmed bed minute reply
2043,neutral,mvermut translation complicated sh t someone going teach
2044,0,wish raining
2045,0,think i ve ever played fun suck marketing promotion
2046,neutral,pm friday left am thursday surely
2047,neutral,joshtastic going see star trek
2048,neutral,pamela nope not drunk sometimes think maybe should then maybe twitter would make sense ya know
2049,0,tired need another minute
2050,neutral,lazy day staying foot much possible
2051,0,beautiful webduck feel badly neaby gran see grandkids amt can t go luck
2052,neutral,sheilarod funny wrote
2053,neutral,myyearbook myspace messenger
2054,neutral,pj
2055,0,apartment nothin do little hungry http myloc me fim
2056,0,tracy berwick break achy breaky heart split way hallway
2057,0,bgt made cry tonight
2058,neutral,jenshwa expected warm usual i m stuck wearing sun dress cold day
2059,0,got back sing loud concert fuckin amazing
2060,neutral,sega united kingdom
2061,neutral,work
2062,0,oouchhhh pinched nipple accident trying fix top
2063,neutral,mattlogelin mankini i m sure i d recognize without signature two piece try get picture
2064,neutral,ravikapoor thanks really fun do love s romance comedy though one could used comedy imo
2065,0,got as kicked tripoly lol got bad card suck
2066,neutral,editing watching movie tonight
2067,neutral,bettyispretty yes please
2068,neutral,skype laqueshaa just cuz everyone else saying i m loner
2069,neutral,ooh new bonkers tomorrow nearly forgot
2070,0,marissa heyy finally got one oh good luck final today
2071,neutral,get bailey s tongue clipped
2072,neutral,want go see up want go mom brother
2073,0,wickedblueglow he s bed sick heavy fever went dr s part reason i m watching aladdin still fed
2074,0,selectedtweets sorry ali
2075,neutral,thing fun itouch
2076,neutral,angellr busy fantastic tried unplug day thank ff
2077,neutral,nolaxe follow u lol
2078,neutral,love proper inet back
2079,neutral,corey cochran hi corey saw reply now pm long night coming
2080,neutral,rizzle d might get movie night week unless like really early morning you lol
2081,neutral,thanx mslaurenlondon
2082,neutral,triple
2083,0,damn fallout hard game
2084,neutral,philthemayor dagnabbitt u kno wanna go gotta couple lap pool though
2085,0,annejsimmons mother bad day
2086,neutral,gracechareas okay still out not dinner
2087,neutral,anybody wanna comment me http fotolog com sokristen
2088,neutral,everything usually watch pending http eztv it index php main showlist
2089,neutral,good mornin http blip fm jryt
2090,neutral,internet week longer
2091,neutral,top down x x x two desktop gear come time course
2092,0,everyone left gone bed
2093,neutral,leslieyuko mine
2094,neutral,stolendreams thats helpful least know got place secured already thing pan out finger crossed
2095,neutral,incredibill actually web work fine tweetdeck keep crashing i m nj today avoiding nascar
2096,neutral,way airport headed nyc
2097,neutral,remy foster
2098,neutral,work thinking rest final summer almost
2099,0,still havent left house yet rediculous really s d p amp t k k
2100,0,i m still office and sun shining
2101,neutral,soyko spammed trolled howardforums com well keep bumping thread
2102,neutral,sethsimonds well question blog post
2103,neutral,goony projected garage door amazing
2104,0,anyone yucky new throwback pepsi mountain dew yet plan keeping around drinking it
2105,neutral,mitchelmusso friend sent u call bck message dunno could reply credit thts all
2106,neutral,milestorres sometimes also emoticon sometimes
2107,0,jenny gorgeous pffff love style want outfit
2108,neutral,happy mother day im gunna crawl ball act like dont exist lmfaoo
2109,0,girl across hall say cat got landlord showing apt heartbreaking
2110,neutral,aami probably bit short rude word bet time
2111,neutral,debsbooknook no year
2112,neutral,saurabh ok yes infact chatted earlier nb in well
2113,neutral,ellapaigebabe would amazing could meet u germany germany twice
2114,neutral,started already see smalleyez infinityh far biggest talker er mean tweeter
2115,neutral,erinbarna definitely coming hope ur ready
2116,0,seagull hate im utterly depressed it miss him
2117,neutral,angiemac know i m changin
2118,neutral,supernatural pm ten counting down
2119,0,justwatched depressing episode jon kate ever i actually almost cried
2120,0,good day till twisted ankle two mile run
2121,neutral,cougar privacy threatened surveillance increase http bit ly ayvio sorry help one
2122,neutral,great honey based recipe amp kid download http twurl nl ltlny join fun honey week
2123,0,back know misunderstood see thru ur eye u love mama love
2124,0,california sunny make kinda sad
2125,0,spotibot afraid bit fail last two recommendation available uk
2126,0,decided can t stand guykawasaki s alltop spam longer
2127,0,omg period cramp ftl much pain
2128,neutral,gossip girl coming back chaceeeeeee
2129,neutral,played fontstruct http is gd eje uploaded dafont k downloads amp top category http is gd wyyp wtf moment
2130,0,wtf little year old wanna thug ugh can t everyone friend clique like back old day
2131,neutral,good morning baby wake
2132,neutral,aeakett say muttering myself
2133,neutral,rented bike unknown trail random bump big hill kid one beat little girl good day b family vacation
2134,neutral,mohandoss based future forgetting ignoring present best keeper according dhoni parthiv
2135,neutral,dhgarske ha nothing man right mother day except taking kid mum s hand whole day
2136,neutral,butterflykate crap said v word
2137,neutral,heartstarbolt could get away it dare me i ll go buy tomorrow
2138,neutral,mac welcome
2139,0,itslisali bad can t come enjoy urself tho
2140,0,say stephanie im pissed couldnt make instore hot topic rockaway mall see nicksantino haha wont
2141,neutral,trpilot baby shut
2142,neutral,download movie quot a good day black amp sexy quot http tinyurl com ckmkul cool movie
2143,neutral,nrin ur pic gone
2144,neutral,kimdub i m learning
2145,neutral,reminder hydra client check email important account update
2146,neutral,respectmileyc follow please
2147,neutral,wanna go see cab really bad
2148,neutral,adawada towel quot sub etha sen o matic quot guide
2149,0,cohenster know awful never fear i ve got load fund drunken catch post exam ja
2150,0,happy mother day going zoo wake oh god noo
2151,0,mulla oh noooooo i m sorry suck hard
2152,neutral,building website
2153,neutral,watching ncis complete first season
2154,0,sick kid trump advance planning bummer
2155,0,hate continually getting sick whenever exam
2156,neutral,dolcetk too friend
2157,neutral,oh tonight looking forward
2158,neutral,yucaipa gonna watch game alone
2159,neutral,special chocr makin round gourd show
2160,0,jessner suck majorly i m swamped so twitter i know but still golf tournament
2161,neutral,bethharperwalsh yes sure would eat
2162,0,savfortomorrow thought pretty good guess not bummer
2163,neutral,realmikeknight teresakopec guess potus able digging amp folo s nomination he s good po that
2164,neutral,chowntown think pool bit possibility become internet sensation
2165,neutral,bank holiday today
2166,0,stick stone may break bone but word hurt forever
2167,neutral,waiting friend come over hang out
2168,neutral,hannahbal ummm idk courtney s date hooking u up
2169,neutral,wanna roc wit chu imy buu
2170,neutral,cottin emilyyyyyyyy
2171,neutral,jeiseman no tacky tweet
2172,neutral,going drink mojito lay watch movie hubby goodnight fellow tweeter
2173,neutral,kirstyyxx see tuesday work
2174,0,rainy day philly look like gonna movie night
2175,neutral,sitting waiting dough rise there s something calm down maybe knowledge i ll cinnamon roll soon
2176,0,im super sick w fever
2177,0,rachelamac aww poor thing hope go well
2178,neutral,got late yet still managed housework time bad going better go finish
2179,0,ninjabetic oh no hope get soon make feel better hug coast
